,Unnamed: 0,building_address,location,latitude,longitude
3235,8635,Lille Farimagsgade 1 København Ø,"1, Lille Farimagsgade, Indre Østerbro, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.69094499999999,12.576233
3236,8637,Ceylonvej 16 København S,"16, Ceylonvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.64851899999999,12.623886
3237,8643,Teglholm Tværvej 9 København SV,,,
3238,8644,Oscar Ellingers Vej 12 Frederiksberg,"12, Oscar Ellingers Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.688066000000006,12.515813
3239,8647,Tranevej 4B København NV,,,
3240,8649,Japanvej 18 København S,"18, Japanvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.651531999999996,12.628829
3241,8650,Kongelundsvej 104E København S,"104E, Kongelundsvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.63474,12.586939
3242,8655,Greisvej 33 København S,"33, Greisvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.645352,12.619209
3243,8663,Teglgårdstræde 12B København K,"12B, Teglgårdstræde, Kødbyen, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1452, Danmark",55.679777,12.568506
3244,8664,Vester Søgade 58 København V,"58, Vester Søgade, Kødbyen, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1601, Danmark",55.679228,12.560236
3245,8665,Ellebjergvej 13 København SV,,,
3246,8668,Diamantgangen 69 København S,"69, Diamantgangen, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.645785,12.591061999999999
3247,8669,Strandboulevarden 104 København Ø,"104, Strandboulevarden, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.70743,12.586167
3248,8672,Lygten 59 København NV,,,
3249,8676,Vestermarksvej 25 København S,"25, Vestermarksvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.643240000000006,12.594003
3250,8677,Istedgade 1 København V,"1, Istedgade, Kødbyen, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1650, Danmark",55.672233,12.563345
3251,8678,Kålagervej 18 København S,"18, Kålagervej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.638932999999994,12.596961
3252,8679,Teglgårdstræde 7 København K,"7, Teglgårdstræde, Kødbyen, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1452, Danmark",55.67943199999999,12.568257000000001
3253,8684,Vesterbrogade 116A København V,"116A, Vesterbrogade, Sorte Hest, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1620, Danmark",55.671696999999995,12.544149
3254,8691,Bülowsvej 5C Frederiksberg C,"5C, Bülowsvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 1870, Danmark",55.677654000000004,12.541885
3255,8696,Silkegade 15 København K,"15, Silkegade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1113, Danmark",55.68014300000001,12.580349
3256,8697,Frankrigshusene 16 København S,"16, Frankrigshusene, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.662728,12.607726
3257,8699,Horsebakken 24 København NV,,,
3258,8700,Engvej 105 København S,"105, Engvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.651509999999995,12.632941
3259,8701,Silkegade 17 København K,"17, Silkegade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1113, Danmark",55.680308999999994,12.580195
3260,8704,Strandvejen 18 København Ø,"18, Strandvejen, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.719122,12.57736
