id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;mstation_scrape;requests;1566752089.881043;-0.3569772243499756;https://en.wikipedia.org/wiki/List_of_Copenhagen_Metro_stations;https://en.wikipedia.org/wiki/List_of_Copenhagen_Metro_stations;126448;200;True;
1;sstation_scrape;requests;1566752096.045397;-0.13695001602172852;https://en.wikipedia.org/wiki/List_of_Copenhagen_S-train_stations;https://en.wikipedia.org/wiki/List_of_Copenhagen_S-train_stations;150090;200;True;
2;mstation_scrape;requests;1566826139.389983;-0.17105317115783691;https://en.wikipedia.org/wiki/List_of_Copenhagen_Metro_stations;https://en.wikipedia.org/wiki/List_of_Copenhagen_Metro_stations;126447;200;True;
3;sstation_scrape;requests;1566826143.095838;-0.024127960205078125;https://en.wikipedia.org/wiki/List_of_Copenhagen_S-train_stations;https://en.wikipedia.org/wiki/List_of_Copenhagen_S-train_stations;150090;200;True;
